n.label,type(r),type(r1),m.label
"Antigens, CD274",INTERACTS_WITH,INHIBITS,cytotoxic T-lymphocyte antigen 4
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,cytotoxic T-lymphocyte antigen 4
"Antigens, CD274",INTERACTS_WITH,INHIBITS,"Antibodies, Bispecific"
cytotoxic T-lymphocyte antigen 4,INTERACTS_WITH,INHIBITS,"Antibodies, Bispecific"
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,nafamostat
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,nafamostat
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,nafamostat
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,nafamostat
Paclitaxel,INTERACTS_WITH,INHIBITS,pirfenidone
Paclitaxel,INTERACTS_WITH,INHIBITS,pirfenidone
Genes,INTERACTS_WITH,INHIBITS,"Genes, Overlapping"
Genes,INTERACTS_WITH,INHIBITS,"Genes, Overlapping"
alpha-Synuclein,INTERACTS_WITH,INHIBITS,Mitogen-Activated Protein Kinase 3
"ITK protein, human",INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
"ITK protein, human",INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
MYC gene,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
NANOG gene,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
Octamer Transcription Factor-3,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
SOX2 Transcription Factor,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
"PTK2 protein, human",INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
ADAMDEC1 gene,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
ADAMDEC1 gene,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
"FRAP1 protein, human",INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
"FRAP1 protein, human",INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
NANOG gene,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
Mubritinib,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
FOXO1 gene,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
SOX2 Transcription Factor,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
guaiol,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
PHLPP1 gene,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
TP53 gene,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Proto-Oncogene Proteins c-akt
ACE2 gene,INTERACTS_WITH,INHIBITS,Estrogens
ACE2 gene,INTERACTS_WITH,INHIBITS,Estrogens
Gonadal Steroid Hormones,INTERACTS_WITH,INHIBITS,Estrogens
"RAF Proto-Oncogene Serine/Threonine-Protein Kinase, human",INTERACTS_WITH,INHIBITS,Mitogen-Activated Protein Kinase Kinases
trametinib,INTERACTS_WITH,INHIBITS,Mitogen-Activated Protein Kinase Kinases
Mubritinib,INTERACTS_WITH,INHIBITS,"PIK3CG protein, human"
GA-Binding Protein Transcription Factor,INTERACTS_WITH,INHIBITS,KEAP1 gene
GA-Binding Protein Transcription Factor,INTERACTS_WITH,INHIBITS,KEAP1 gene
S100A4 wt Allele,INTERACTS_WITH,INHIBITS,KEAP1 gene
TRIM15 gene,INTERACTS_WITH,INHIBITS,KEAP1 gene
TRIM15 gene,INTERACTS_WITH,INHIBITS,KEAP1 gene
Antioxidants,INTERACTS_WITH,INHIBITS,KEAP1 gene
CHEK1 gene,INTERACTS_WITH,INHIBITS,Pentoxifylline
Aldehyde Dehydrogenase Mitochondrial,INTERACTS_WITH,INHIBITS,Pentoxifylline
BAX gene,INTERACTS_WITH,INHIBITS,Pentoxifylline
Aldehyde Dehydrogenase Mitochondrial,INTERACTS_WITH,INHIBITS,Pentoxifylline
CHEK1 gene,INTERACTS_WITH,INHIBITS,Pentoxifylline
FAM3C gene,INTERACTS_WITH,INHIBITS,RALA gene
FAM3C gene,INTERACTS_WITH,INHIBITS,RALA gene
Polymerase,INTERACTS_WITH,INHIBITS,Nucleoside Analogs
Polymerase,INTERACTS_WITH,INHIBITS,Nucleoside Analogs
UBA1 gene,INTERACTS_WITH,INHIBITS,CDK9 gene
EEF2K gene,INTERACTS_WITH,INHIBITS,Sodium Tetradecyl Sulfate
RNA-Directed RNA Polymerase,INTERACTS_WITH,INHIBITS,Adenosine
"BMPR2 protein, human",INTERACTS_WITH,INHIBITS,LCT gene
"LGALS9 protein, human",INTERACTS_WITH,INHIBITS,Hepatitis A Virus Cellular Receptor 2
"ITK protein, human",INTERACTS_WITH,INHIBITS,Plasminogen Activator Inhibitor 1
SMAD3 gene,INTERACTS_WITH,INHIBITS,Plasminogen Activator Inhibitor 1
"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human",INTERACTS_WITH,INHIBITS,celecoxib
E-Cadherin,INTERACTS_WITH,INHIBITS,"ITK protein, human"
STAT3 gene,INTERACTS_WITH,INHIBITS,"ITK protein, human"
GMDS-AS1 gene,INTERACTS_WITH,INHIBITS,"ITK protein, human"
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,"ITK protein, human"
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,"ITK protein, human"
SH2B3 gene,INTERACTS_WITH,INHIBITS,"ITK protein, human"
E-Cadherin,INTERACTS_WITH,INHIBITS,"ITK protein, human"
Plasminogen Activator Inhibitor 1,INTERACTS_WITH,INHIBITS,"ITK protein, human"
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,Glycyrrhizic Acid
ICAM1 gene,INTERACTS_WITH,INHIBITS,boswellic acid
uvaol,INTERACTS_WITH,INHIBITS,boswellic acid
CYSLTR1 gene,INTERACTS_WITH,INHIBITS,montelukast
CYSLTR1 gene,INTERACTS_WITH,INHIBITS,montelukast
"Antigens, CD274",INTERACTS_WITH,INHIBITS,SMAD4 gene
Transforming Growth Factor beta,INTERACTS_WITH,INHIBITS,TBX1 wt Allele
YAP1 gene,INTERACTS_WITH,INHIBITS,Blockade
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Blockade
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Blockade
ACE2 gene,INTERACTS_WITH,INHIBITS,Blockade
Interleukin-6,INTERACTS_WITH,INHIBITS,Blockade
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Blockade
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Blockade
ceritinib,INTERACTS_WITH,INHIBITS,ENTPD1 wt Allele
ceritinib,INTERACTS_WITH,INHIBITS,ENTPD1 wt Allele
Mediator brand of benfluorex hydrochloride,INTERACTS_WITH,INHIBITS,GA-Binding Protein Transcription Factor
KEAP1 gene,INTERACTS_WITH,INHIBITS,GA-Binding Protein Transcription Factor
S100A4 wt Allele,INTERACTS_WITH,INHIBITS,GA-Binding Protein Transcription Factor
KEAP1 gene,INTERACTS_WITH,INHIBITS,GA-Binding Protein Transcription Factor
YBX1 gene,INTERACTS_WITH,INHIBITS,MDM2 gene
YBX1 gene,INTERACTS_WITH,INHIBITS,MDM2 gene
TP53 gene,INTERACTS_WITH,INHIBITS,MDM2 gene
TP53 gene,INTERACTS_WITH,INHIBITS,MDM2 gene
ABCA1 gene,INTERACTS_WITH,INHIBITS,TP53 gene
ABCA1 gene,INTERACTS_WITH,INHIBITS,TP53 gene
Genes,INTERACTS_WITH,INHIBITS,TP53 gene
Genes,INTERACTS_WITH,INHIBITS,TP53 gene
BCL2 gene,INTERACTS_WITH,INHIBITS,TP53 gene
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,TP53 gene
C12orf5 gene,INTERACTS_WITH,INHIBITS,TP53 gene
MDM2 gene,INTERACTS_WITH,INHIBITS,TP53 gene
MDM2 gene,INTERACTS_WITH,INHIBITS,TP53 gene
SIRT1 gene,INTERACTS_WITH,INHIBITS,TP53 gene
USP7 gene,INTERACTS_WITH,INHIBITS,TP53 gene
ubiquitin-protein ligase,INTERACTS_WITH,INHIBITS,TP53 gene
"EPHB2 protein, human",INTERACTS_WITH,INHIBITS,U 0126
STAT3 gene,INTERACTS_WITH,INHIBITS,"Proto-Oncogene Tyrosine-Protein Kinase Src, human"
STAT3 gene,INTERACTS_WITH,INHIBITS,"Proto-Oncogene Tyrosine-Protein Kinase Src, human"
Stromal Cell-Derived Factor 1,INTERACTS_WITH,INHIBITS,Lidocaine
Stromal Cell-Derived Factor 1,INTERACTS_WITH,INHIBITS,Lidocaine
Antibodies,INTERACTS_WITH,INHIBITS,"N,N-Dimethyltryptamine"
MAP2K3 gene,INTERACTS_WITH,INHIBITS,myricetin
MAP2K3 gene,INTERACTS_WITH,INHIBITS,myricetin
Epiregulin,INTERACTS_WITH,INHIBITS,"EPHB2 protein, human"
Phosphotransferases,INTERACTS_WITH,INHIBITS,"EPHB2 protein, human"
U 0126,INTERACTS_WITH,INHIBITS,"EPHB2 protein, human"
Interleukin-6,INTERACTS_WITH,INHIBITS,darunavir
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Membrane Transport Proteins
COA6 gene,INTERACTS_WITH,INHIBITS,Matrix Metalloproteinases
ACE2 gene,INTERACTS_WITH,INHIBITS,Anti-Anxiety Agents
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Ion Channel
Adenosine,INTERACTS_WITH,INHIBITS,RNA-Directed RNA Polymerase
Antiviral Agents,INTERACTS_WITH,INHIBITS,RNA-Directed RNA Polymerase
ACO2 gene,INTERACTS_WITH,INHIBITS,MNT gene
ACO2 gene,INTERACTS_WITH,INHIBITS,MNT gene
Hydroxymethylglutaryl-CoA Reductase Inhibitors,INTERACTS_WITH,INHIBITS,Cholesterol
Peptide Hydrolases,INTERACTS_WITH,INHIBITS,Famotidine
ACE2 gene,INTERACTS_WITH,INHIBITS,Aldosterone
cytokine,INTERACTS_WITH,INHIBITS,Biological Factors
cytokine,INTERACTS_WITH,INHIBITS,Biological Factors
cytokine,INTERACTS_WITH,INHIBITS,Granulocyte-Macrophage Colony-Stimulating Factor
FIGF gene,INTERACTS_WITH,INHIBITS,ADH5 gene
FIGF gene,INTERACTS_WITH,INHIBITS,ADH5 gene
FIGF gene,INTERACTS_WITH,INHIBITS,ADH5 gene
FIGF gene,INTERACTS_WITH,INHIBITS,ADH5 gene
Glycoproteins,INTERACTS_WITH,INHIBITS,arbidol
ACE2 gene,INTERACTS_WITH,INHIBITS,Angiotensin-Converting Enzyme Inhibitors
ACE2 gene,INTERACTS_WITH,INHIBITS,Angiotensin-Converting Enzyme Inhibitors
ACE2 gene,INTERACTS_WITH,INHIBITS,Angiotensin II receptor antagonist
TP53 gene,INTERACTS_WITH,INHIBITS,ubiquitin-protein ligase
Deubiquitinating Enzymes,INTERACTS_WITH,INHIBITS,ubiquitin-protein ligase
"ITK protein, human",INTERACTS_WITH,INHIBITS,STAT3 gene
S100A4 gene,INTERACTS_WITH,INHIBITS,STAT3 gene
"Proto-Oncogene Tyrosine-Protein Kinase Src, human",INTERACTS_WITH,INHIBITS,STAT3 gene
palbociclib,INTERACTS_WITH,INHIBITS,STAT3 gene
PGAM1 gene,INTERACTS_WITH,INHIBITS,STAT3 gene
SH2B3 gene,INTERACTS_WITH,INHIBITS,STAT3 gene
SH2B3 gene,INTERACTS_WITH,INHIBITS,STAT3 gene
EPX gene,INTERACTS_WITH,INHIBITS,STAT3 gene
S3I 201,INTERACTS_WITH,INHIBITS,STAT3 gene
